# name,url,lang,cc,ua,referer
FranceInfo,https://icecast.radiofrance.fr/franceinfo-hifi.aac,fr,FR,,
Deutschlandfunk,https://st01.sslstream.dlf.de/dlf/01/128/mp3/stream.mp3,de,DE,,
IMER_Noticias,https://s2.mexside.net:8010/stream,es,MX,,
LBC,https://media-ssl.musicradio.com/LBCUK,en,GB,"Mozilla/5.0","https://www.lbc.co.uk/"
RaiRadio,https://icestreaming.rai.it/1.mp3,it,IT,"Mozilla/5.0","https://www.raiplayradio.it/"
CNN,https://tunein.streamguys1.com/cnnen,en,US,"Mozilla/5.0","https://tunein.com/"
NPO_Radio1,https://icecast.omroep.nl/radio1-bb-aac,nl,NL,,
RadioNacional_AR,http://sa.mp3.icecast.magma.edge-access.net:7200/sc_rad39,es,AR,,
